label,comment
0,100 days pakka
0,sari nivu video na roast madi adre madvaga pubg atava free fire games hakondo madbedi a games kooda chinese
0,krishana shapa tatteleebeku
0,ಕನ್ನಡ ಇವತ್ತು ರಾಷ್ಟ್ರೀಯ ಮತ್ತು ಅಂತಾರಾಷ್ಟ್ರೀಯ ಮಟ್ಟದಲ್ಲಿ ಹೆಸರು ಮಾಡುತ್ತಿದೆ ಎಂದರೆ ಅದು ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ರವರಂತವರ ಉತ್ಸುಕತೆಯಿಂದ ಮಾತ್ರ
0,ಕೇಳಿ ಕಾದಿರುವ ಭಾಂದವರೇnಭುವಿಯಲ್ಲಿ ಅವನ ಅರಿತವರೆnಯಾರಿಲ್ಲ ಬಿಡಿ ಮುನ್ನುಡಿnಇದ್ದರದೊಂದು ದಂತ ಕಥೆ...nನಾಕು ದಿಕ್ಕಿನಲು ಬೇಕವನುnಬಂದೂಕು ಹಿಡಿದ ಮಾನವನುnತಲೆ ಮೇಲಿದೆ ಕಿರೀಟ...nತೀರ ಹಠ...nಗುರಿ ಬೆನ್ನಟ್ಟೋ ನೇತಾರನು!nಗಾಳಿ ಮಾತಿನ ಬಜಾರುnಸುದ್ದಿ ಸಾರಿದೆ ಸುಮಾರುnಪಾತ್ರದ ಪರಿಚಯ ಇರೋರುnಆ ಬಂದೂಕಿಗೆ ಇದೆ ಘನ ಹೆಸರುnಹ್ಯಾಂಡ್ಸ್ ಅಪ್...nಅದು ಅನವರತ!nಹ್ಯಾಂಡ್ಸ್ ಅಪ್...nನಾ ಅಜ್ಞಾತ!nಹ್ಯಾಂಡ್ಸ್ ಅಪ್...nಇದೆ ವೇದಾಂತ..!nಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ...nnರಂಗೇರಿದೆ ಮಾಯಾ ಜಾಲnಅನುಭವಿಸು ಓ ಪ್ರೇಕ್ಷಕನೇ!nದೃಷ್ಟಿ ನನ್ನೊಬ್ಬನ ಮೇಲಿಡಿnತಪ್ಪದು ನಿಜ ಮನರಂಜನೆ!nನನ್ನ ಗೆಲ್ಬೋದು ಅನ್ನುತnನಿಂದನು ಓರ್ವ ರಾಕ್ಷಸ!nತಪ್ಪಲ್ಲ ಆದರು ಅದುವೇnಊಹೆಗೂ ಮೀರಿದ ಸಾಹಸ!nಅನಿಸುತ್ತೆ...nಬಂದ ಹಾಗಿದೆ ರಚಿಸಲು ಹೊಸದೇ ಶಾಸನ!nಮೆರಯಲಿ ಗಗನದಲಿ ನಿಮ್ಮದೇ ಲಾಂಛನ...nಯುಧ್ಧ ಮಾಡಬೇಕು
0,sanjukuamar chatnale ğy
0,hindi song release madlilva?
0,ಶಂಕ್ರಣ್ಣ is back
0,trend setter! awesome!
0,jeevana banda haage accept madtha sagtidira wish you good luck
